# Format
# Grapheme ; Code ; Equivalent Sequences ; Lowercase ; Titlecase ; Uppercase ; UTF-8 Length ; UTF-16 Length

# Latin-1
# Inscriptional Pahlavi

# Psalter Pahlavi

# Old Turkic

# Old Hungarian

# Hanigi Rohingya

# Rumi Numeral Symbols

# Yezidi

# Old Sogdian

# Sogdian

# Chorasmian

# Elymaic

# Brahmi

# Kaithi

# Sora Sompeng

# Chakma

# Mahajani

# Sharada

# Sinhala Archaic Numbers

# Khojki

# Multani

# Khudawadi

# Grantha

# Newa

# Tirhuta

# Siddham

# Modi

# Mongolian Supplement

# Takri

# Ahom

# Dogra

# Warang Citi

# Dives Akuru

# Nandinagari

# Zanabazar Square

# Soyombo

# Pau Cin Hau

# Bhaiksuki

# Marchen

# Masaram Gondi

# Gunjala Gondi

# Makasar

# Lisu Supplement

# Tamil Supplement

# Cuneiform

# Cuneiform Numbers and Punctuation

# Early Dynastic Cuneiform

# Egyptian Hieroglyphs

# Egyptian Hieroglyphs Format Controls

# Anatolian Hieroglyphs

# Bamum Supplement

# Mro

# Bassa Vah

# Pahawh Hmong

# Medefaidrin

# Miao

# Ideographic Symbols and Punctuation

# Tangut

# Tangut Components 

# Khitan Small Script

# Tangut Supplement

# Kana Supplement

# Kana Extended-A

# Small Kana Extension

# Nushu

# Duployan

# Shorthand Format Controls

# Byzantine Musical Symbols

# Musical Symbols

# Mayan Numerals

# Tai Xuan Jing Symbols

# Counting Rod Numerals

# Mathematical Alphanumeric Symbols

# Sutton SignWriting

# Glagotic Supplement

# Nyiakeng Puachue Hmong

# Wancho

# Mende Kikakui

# Adlam

# Indic Siyaw Numbers

# Ottoman Siyaq Numbers

# Arabic Mathematical Alphabetic Symbols

# Mahjong Tiles

# Domino Tiles

# Playing Cards

# Enclosed Alphanumeric Supplement

# Enclosed Ideographic Supplement

# Miscellaneous Symbols and Pictographs

# Emoticons (Emoji)

# Ornamental Dingbats

# Transport and Map Symbols

# Alchemical Symbols

# Geometric Shapes Extended

# Supplemental Arrows-C

# Supplemental Symbols and Pictographs

# Chess Symbols

# Symbols and Pictographs Extended-A

# Symbols for Legacy Computing

# CJK Unified Ideographs Extension B

# CJK Unified Ideographs Extension C

# CJK Unified Ideographs Extension D

# CJK Unified Ideographs Extension E

# CJK Unified Ideographs Extension F

# CJK Compatibility Ideographs Supplement

# CJK Unified Ideographs Extension G

# Tags

# Variation Selectors Supplement

# Supplementary Private Use Area-A

# Supplementary Private Use Area-B
